	id	puzzle	solution	clues	difficulty
2581	2582	..1....92...5.4.8.3....6..44.......91..4.2..6..79.....2.5..84.......1..........3.	541837692976524183382196754423765819159482376867913245295378461734651928618249537	23	4.4
2600	2601	1....4..75.....3.9.....942...........36....5.2.7...6.461..8.......16.8.......2..1	169234587524876319378519426451623978936748152287951634613487295792165843845392761	24	5.0
2602	2603	.6..4.8.53....9.2.......4..2....7.6.6.3....5.75..1...8.8....3......8..7.5...7...2	962743815341859627875162493218537964693428751754916238187295346426381579539674182	25	4.7
2787	2788	.3.7......2..8.6..71...5....5.....24..89........1...6.5.....23.........5..9.728..	836791542925483671714265389157836924468927153293154768581649237672318495349572816	23	5.1
2805	2806	6...7......8.9.43.2......79.3.5....49.......6.....8...8.2....61...2..7.....4...9.	694375128718692435253814679136527984987143256425968317842739561569281743371456892	23	4.6
2832	2833	.15....8.........44...5..63........2..64..9..1..9..3...7..2....2.9..68....817....	615243789783691524492758163954387612836412957127965348571829436249536871368174295	24	4.4
2836	2837	.8.4...3........5.7.6.38..4.....19..3.26...1..6...4.........3...1.......4.7.52..8	289415736143276859756938124874521963392687415561394287625849371918763542437152698	24	4.1
2851	2852	.......812..1.3.7......4..3.6...9...5..31......7.2...6..5.....719..5.4..6...8....	934275681286193574751864293862749315549316728317528946425931867198657432673482159	24	4.6
2861	2862	..5...7.4.7..14.5...65...1....2..38.....981...48..7..659......1.84....6....4.....	815962734379814652426573918761245389253698147948137526592386471184759263637421895	27	5.2
2881	2882	..4...2...19.7..5..7..2.9..4...95.....26....9.......841...6...3...1.7......9...75	364589217219476358875321946436895721782614539591732684157268493943157862628943175	25	4.0
2882	2883	..395.87.......63..8..7.2.......5.9.6...17.5.5....23........1....12...8.3...6....	423956871157428639986173245812345796639817452574692318295784163761239584348561927	25	4.3
2886	2887	8.9....3.6..3...18....6..4....94.1.6...8...52..7.....3..6..3....5..8..64.48.7....	829154637674329518135768249382945176461837952597612483716493825953281764248576391	27	4.4
2937	2938	4...89..65....1.....7.......3....7.5....2...9..96..1...51..38......1..2.8..4.....	412789356568341297397562418236194785145827639789635142951273864674918523823456971	23	5.3
2983	2984	7.8..3...13..2...9...5......4.3.......24...6........15.8.9...5...3.4...247.2..69.	758193246134628579629574831546317928812459367397862415281936754963745182475281693	26	4.7
2995	2996	........4..1.8.9...329.....7.981..6.8....47......3.5......2...6.9....8..5.7......	985276314671483952432951687729815463853694721164732598348529176296147835517368249	23	5.6
3008	3009	.1..6.....48..7..1.......62.....58.3..9.1.2.....9.6...8..6......9...8.353.....6..	912564378648327951735891462167245893589713246423986517851639724296478135374152689	24	4.2
3060	3061	.....7..9..8.4.1...7....3...59.8..3..4....8.7........5.8692......2....96.34......	423167589698345172175892364259784631341659827867213945786921453512438796934576218	24	5.1
3144	3145	.2..5.8.......1....38....6....7...262....5..1.49.......8..92.5..9....6.74...1....	621453879974861532538279164815734926263985741749126385187692453392548617456317298	24	4.9
3155	3156	5....194.....4..2.........8..6..42....429..71.....3.....86....4.3..8......27...1.	563821947981347526427956138816574293354298671279163485798612354135489762642735819	24	4.1
3225	3226	.....8.....5.1.....8...9.4..4.2.7...63.....28..2.6..1....4.29..3.......7.......56	476538192925614873183729645541287369637941528892365714768452931354196287219873456	23	4.0
3239	3240	.4..3.5..........15.....9..972.........98...6....154.....6.....6.3.9..4...9.4...7	847139562296574381531826974972463815415982736368715429784651293653297148129348657	23	4.0
3250	3251	94.8.3.5....2..7.4...9.....6.....51349.........1.5....53.....7......2..8.6...49..	947813256183265794256947381678429513495381627321756849534698172719532468862174935	25	4.6
3291	3292	..15.....632....9.8.........6..4...9...6....7..8..5.14...8..2..4.519.8.......3...	941562738632487195857319462163748529594621387278935614319874256425196873786253941	24	4.5
3292	3293	5..7.......4...9.7.9.5..13...3.5...292.4.3...6..9.........8..........74...8...6..	516739284234861957897542136783156492925473861641928573452687319369215748178394625	23	5.0
3293	3294	.8.7...1..3...27......5.8....498...2.7.1...5.6....4........85....6....3...3..5..4	482793615135862749967451823514987362379126458628534971241378596856249137793615284	24	4.1
3302	3303	..72..3..5....7...4.....6......6...26.....938.3.78.5..78...6.2...........2.1..896	867291345513647289492835617958463172674512938231789564789356421146928753325174896	26	4.0
3317	3318	.41.8..6..6....721...6.....2.9..5...1..2.......3.7.1..........5..23.6.....6.51...	741982563968534721325617489289165347174293856653478192437829615512346978896751234	24	4.2
3336	3337	29...165...7...34....79.....3....914.....6...9.2......5....3.2..7.1....3...8...7.	298431657157268349463795182836527914745916238912384765589673421674152893321849576	25	4.1
3405	3406	..7..612.5............8.4.5.....2.8..4.35...2...6....36..4...7...2......3..2.7.9.	487536129593124867261789435135972684746358912829641753658493271972815346314267598	24	4.0
3408	3409	....1......32...6..826.7..9.59.........45.8....7....2....8....3......1...6.1.549.	496513278173298564582647319359782641621459837847361925914826753235974186768135492	24	4.1
3464	3465	7....4.8......6......81.5.2..9.....3.6..2...4.7.9.52..5....1..........1..98...3.5	753294681812576439946813572289647153365128794471935268537481926624359817198762345	24	4.9
